Site (Grouped by County),,Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015*,Averages
Crescent City Del Norte,,05,25,119,57,56,103,60,47,212,517,123,209,220,134,60,139
Other Del Norte,,09,19,20,91,0,0,45,0,297,30,82,3,38,15,36,49
Patricks Pt Humboldt,,13,467,591,730,465,207,820,631,574,739,301,770,"1,048",663,421,602
Trinidad,,14,338,204,274,253,284,373,189,616,325,452,402,517,240,232,336
Punta Gorda,,16,"1,481",963,"1,358",422,672,"1,476","1,230","1,318",827,192,550,568,305,276,831
Shelter Cove,,18,"4,259","3,540","4,143","3,717","3,024","4,413","4,320","2,232","2,881","2,586","2,943","2,967","1,597","1,433","3,147"
Other Humboldt,,19,"1,020","1,658","1,370",943,181,567,126,638,561,602,392,659,177,183,648
Bear Harbor Mendocino,,20,808,502,434,535,155,611,221,64,192,274,574,503,352,282,393
Usal,,21,325,437,217,239,78,268,173,574,236,301,241,190,97,129,250
Hardy Creek,,22,"1,736","1,291","1,678","1,464","1,396","1,163","1,813",595,"1,566","1,026","1,589","2,447","1,105","1,058","1,423"
Abalone Point,,24,"2,573","3,069","2,306","3,520","2,558","4,189","4,746","3,868","1,980","1,752","2,422","3,912","2,997","1,735","2,973"
Westport,,25,"2,582","2,026","1,461","2,028","1,628","2,147","1,182","1,552","2,009","1,327","2,229","2,749","1,833","1,349","1,864"
1,,,,,,,,,,,,,,,,,
Bruhel Point,,26,,,,,,,,,,,,408,333,163,301
1,,,,,,,,,,,,,,,,,
Kibesillah,,27,"2,251","2,229","1,701","1,577",465,999,"1,119","1,275","1,935","1,423","2,181",0,0,0,"1,560"
MacKerricher,,29,"5,114","5,690","3,709","3,915","3,876","4,905","3,926","7,015","5,141","4,092","5,455","6,478","4,559","3,276","4,797"
Glass Beach,,30,"3,299","3,630","3,675","4,590","5,970","5,561","4,147","4,145","4,979","6,541","9,040","10,263","4,230","6,369","5,460"
Georgia Pacific,,31,"7,643","5,134","6,323","6,111","6,021","6,768","8,293","8,801","9,308","9,867","10,132","8,093","5,381","6,244","7,437"
Todds Point,,32,"7,040","7,557","7,647","8,153","8,270","9,303","8,246","7,780","4,506","6,952","7,710","9,111","4,845","5,497","7,330"
Hare Creek,,33,"3,631","5,035","4,908","3,915","2,972","5,099","5,629","7,504","5,245","5,802","5,755","5,025","2,976","2,624","4,723"
2,,,,,,,,,,,,,,,,,
Mitchell Creek,,34,,,,,594,"1,923","3,248","2,870","2,896","4,051","3,873","3,156","2,853","2,615","2,808"
Jughandle,,35,"4,698","5,879","6,780","5,872","5,039","7,782","3,689","5,251","6,190","5,104","5,821","7,619","4,791","4,731","5,660"
Caspar Cove,,36,"6,668","7,905","7,944","7,435","4,574","7,931","3,957","6,335","5,333","6,883","6,935","7,281","6,912","6,584","6,620"
Russian Gulch,,38,"6,980","6,425","6,757","6,097","7,443","6,947","6,575","8,354","6,072","8,005","6,880","6,937","7,108","7,763","7,024"
Jack Peters Gulch,,39,"2,936","2,274","2,191","2,971","5,065","4,920","4,383","2,849","2,940","3,435","3,325","3,933","3,260","3,988","3,462"
Mendocino Hdlnds,,40,"8,985","9,449","7,602","7,139","11,526","15,191","9,539","10,224","9,145","13,493","11,290","12,283","8,755","8,725","10,239"
Gordon Lane,,41,"2,624","3,396","2,340","2,014","2,998","3,339","2,207","2,338","2,260","2,833","2,934","5,742","3,376","4,273","3,048"
Van Damme,,42,"18,087","16,515","13,446","11,645","14,420","16,414","16,492","19,364","16,325","18,406","20,812","17,282","15,082","16,539","16,488"
Dark Gulch,,44,"2,952","3,153","2,602","2,633","4,652","3,861","3,721","7,185","5,186","5,611","7,202","5,065","4,341","5,430","4,542"
Albion Cove,,45,"12,044","10,929","11,688","9,223","11,888","8,050","4,478","5,633","4,255","5,665","5,477","7,073","5,809","7,086","7,807"
Salmon Creek,,46,60,10,"1,803",803,"2,481","2,132","1,277","1,743",872,"2,258","2,061","1,928","1,174","1,226","1,416"
Navarro River,,47,"2,557","3,754","2,911","3,886","4,858","4,487","3,011","3,933","3,738","2,121","3,212","4,107","2,336","2,235","3,368"
Elk,,49,"8,240","9,270","8,526","6,407","5,944","9,988","7,804","9,311","9,899","5,994","9,467","11,563","7,243","6,735","8,314"
3,,,,,,,,,,,,,,,,,
Point Arena Lighthouse,,50,"1,673","1,574","4,223","15,602","18,478","7,558","3,768","5,420",783,547,"1,107","1,320","1,513","1,225","4,628"
Arena Cove,,51,"12,628","11,917","10,946","7,364","9,769","8,885","9,003","12,584","9,101","7,951","10,877","10,900","4,682","4,242","9,346"
Moat Creek,,52,"6,153","7,716","7,522","5,520","7,081","12,180","13,559","18,982","11,450","10,441","11,436","14,457","6,595","5,649","9,910"
Schooner Gulch,,53,587,730,559,803,388,462,694,489,680,684,764,452,334,295,566
Saunders Landing,,54,912,"1,137","1,769","1,338",904,"1,431","2,081",680,266,0,0,0,0,0,"1,169"
Anchor Bay,,56,"5,446","6,470","5,593","4,759","4,936","4,964","4,998","3,954","4,225","5,720","5,693","4,865","4,435","4,633","5,049"
Robinson Pt,,58,789,"1,311","1,164",605,"1,060",894,"1,072","1,679","1,374","2,408","1,505","1,517","1,596","1,517","1,321"
Gualala Point Sonoma,,60,"1,181","1,311",970,817,956,"1,163","1,041",510,975,575,"1,016","1,268",369,277,888
Sea Ranch,,62,"14,466","13,710","13,115","10,941","10,802","13,462","9,949","12,457","12,129","7,841","12,189","11,890","6,579","6,792","11,166"
Black Point,,64,360,293,171,310,0,432,236,0,473,561,274,300,113,116,260
Stewarts Point,,66,"2,418","2,458","2,077","1,155","1,757","1,401","1,450","1,595",44,588,194,578,213,390,"1,166"
Rocky Point,,68,376,561,285,760,310,283,315,191,0,178,73,61,12,39,246
Horseshoe Cove,,70,"2,418","2,011","1,860","1,479","1,344","2,236","2,665","1,360",192,0,0,0,0,0,"1,729"
Fisk Mill Cove,,72,"7,043","7,369","8,127","8,125","8,244","10,525","7,725","8,290","2,452","2,915","3,526","3,732","1,726","1,914","5,837"
Salt Point State Park,,74,"11,763","11,738","11,414","8,533","9,097","12,538","10,753","11,670","8,909","6,309","7,278","6,400","3,569","4,156","8,866"
Ocean Cove,,76,"5,777","6,664","5,855","5,280","7,365","5,337","3,311","5,803","4,964","3,572","1,666","1,780","1,594","2,533","4,393"
Stillwater Cove,,78,"3,643","4,325","2,956","4,872","3,489","4,920","3,642","4,251","5,614","3,202","3,767","3,181","2,007","3,187","3,790"
Timber Cove,,80,"8,713","9,221","7,990","8,209","9,148","8,930","8,388","10,544","11,967","5,884","7,370","6,643","3,578","4,109","8,199"
"4,5",,,,,,,,,,,,,,,,,
Fort Ross & Reef Campground,,82+84,"36,546","37,429","37,186","32,767","42,925","62,286","55,860","51,377","32,916","20,883","6,887","6,365","1,806","2,474","30,551"
Jenner,,86,"1,882","2,344","2,580","2,746","2,197","3,876","4,083","4,039","4,122","2,203","1,904","2,479","1,163","1,149","2,626"
Bodega Head,,88,"1,099","1,524","1,016","1,633","1,137",850,"1,324","1,487",680,848,424,585,333,333,948
Tomales Point Marin,,93,"2,873","3,719","2,191","2,211","1,576","2,102","2,144","2,360","2,054","2,942","2,185","1,517",580,498,"2,068"
Point Reyes,,96,622,968,639,465,388,134,173,191,251,0,175,110,41,30,299
Other Marin,,99,477,"1,028",605,676,310,373,347,638,355,192,369,433,279,148,445
Total estimate,,,"264,000","262,000","248,000","235,000","263,000","309,000","265,000","295,000","234,000","214,000","223,000","230,000","148,000",155000*,"241,000"
95% Confidence limit,,,"17,000","19,000","18,000","18,000","24,000","25,000","18,000","23,000","21,000","19,000","16,000","12,000","7,000",7000*,"17,000"
High (plus 95% confidence),,,"281,000","281,000","266,000","253,000","287,000","334,000","283,000","318,000","255,000","233,000","239,000","242,000","155,000",162000*,"258,000"
Low (minus 95% confidence),,,"247,000","243,000","230,000","217,000","239,000","284,000","247,000","272,000","213,000","195,000","207,000","218,000","141,000",148000*,"224,000"
