stock,age,year,preseason,postseason,pre_over_post
Klamath River Fall Chinook,Age-3,1985,"113,000","374,822",0.3
Klamath River Fall Chinook,Age-3,1986,"426,000b/","1,304,409",0.33
Klamath River Fall Chinook,Age-3,1987,"511,800","781,122",0.66
Klamath River Fall Chinook,Age-3,1988,"370,800","756,261",0.49
Klamath River Fall Chinook,Age-3,1989,"450,600","369,828",1.22
Klamath River Fall Chinook,Age-3,1990,"479,000","176,122",2.72
Klamath River Fall Chinook,Age-3,1991,"176,200","69,424",2.54
Klamath River Fall Chinook,Age-3,1992,"50,000","39,502",1.27
Klamath River Fall Chinook,Age-3,1993,"294,400","168,473",1.75
Klamath River Fall Chinook,Age-3,1994,"138,000","119,915",1.15
Klamath River Fall Chinook,Age-3,1995,"269,000","787,309",0.34
Klamath River Fall Chinook,Age-3,1996,"479,800","192,272",2.5
Klamath River Fall Chinook,Age-3,1997,"224,600","140,153",1.6
Klamath River Fall Chinook,Age-3,1998,"176,000","154,799",1.14
Klamath River Fall Chinook,Age-3,1999,"84,800","129,066",0.66
Klamath River Fall Chinook,Age-3,2000,"349,600","617,097",0.57
Klamath River Fall Chinook,Age-3,2001,"187,200","356,128",0.53
Klamath River Fall Chinook,Age-3,2002,"209,000","513,604",0.41
Klamath River Fall Chinook,Age-3,2003,"171,300","401,112",0.43
Klamath River Fall Chinook,Age-3,2004,"72,100","159,446",0.45
Klamath River Fall Chinook,Age-3,2005,"185,700","189,977",0.98
Klamath River Fall Chinook,Age-3,2006,"44,100","90,666",0.49
Klamath River Fall Chinook,Age-3,2007,"515,400","376,940",1.37
Klamath River Fall Chinook,Age-3,2008,"31,600","68,015",0.46
Klamath River Fall Chinook,Age-3,2009,"474,900","240,787",1.97
Klamath River Fall Chinook,Age-3,2010,"223,400","192,750",1.16
Klamath River Fall Chinook,Age-3,2011,"304,600","240,222",1.27
Klamath River Fall Chinook,Age-3,2012,"1,567,600","799,446",1.96
Klamath River Fall Chinook,Age-3,2013,"390,700","438,443",0.89
Klamath River Fall Chinook,Age-3,2014,"219,800","216,493",1.02
Klamath River Fall Chinook,Age-3,2015,"342,200","110,506",3.1
Klamath River Fall Chinook,Age-3,2016,"93,400","32,670",2.86
Klamath River Fall Chinook,Age-3,2017,"42,000","63,235",0.66
Klamath River Fall Chinook,Age-3,2018,"330,000","193,685",1.7
Klamath River Fall Chinook,Age-3,2019,"167,500","81,803",2.05
Klamath River Fall Chinook,Age-3,2020,"149,600","132,864",1.13
Klamath River Fall Chinook,Age-3,2021c/,"135,600","155,267",0.87
Klamath River Fall Chinook,Age-3,2022,"155,000",--,--
Klamath River Fall Chinook,Age-4,1985,"56,900","56,908",1
Klamath River Fall Chinook,Age-4,1986,"66,300","140,823",0.47
Klamath River Fall Chinook,Age-4,1987,"206,100","341,875",0.6
Klamath River Fall Chinook,Age-4,1988,"186,400","234,751",0.79
Klamath River Fall Chinook,Age-4,1989,"215,500","177,245",1.22
Klamath River Fall Chinook,Age-4,1990,"50,100","103,951",0.48
Klamath River Fall Chinook,Age-4,1991,"44,600","37,171",1.2
Klamath River Fall Chinook,Age-4,1992,"44,800","28,169",1.59
Klamath River Fall Chinook,Age-4,1993,"39,100","15,037",2.6
Klamath River Fall Chinook,Age-4,1994,"86,100","41,736",2.06
Klamath River Fall Chinook,Age-4,1995,"47,000","28,726",1.64
Klamath River Fall Chinook,Age-4,1996,"268,500","226,282",1.19
Klamath River Fall Chinook,Age-4,1997,"53,900","62,820",0.86
Klamath River Fall Chinook,Age-4,1998,"46,000","44,733",1.03
Klamath River Fall Chinook,Age-4,1999,"78,800","30,456",2.59
Klamath River Fall Chinook,Age-4,2000,"38,900","44,176",0.88
Klamath River Fall Chinook,Age-4,2001,"247,000","133,801",1.85
Klamath River Fall Chinook,Age-4,2002,"143,800","98,927",1.45
Klamath River Fall Chinook,Age-4,2003,"132,400","192,180",0.69
Klamath River Fall Chinook,Age-4,2004,"134,500","105,246",1.28
Klamath River Fall Chinook,Age-4,2005,"48,900","38,079",1.28
Klamath River Fall Chinook,Age-4,2006,"63,700","63,384",1
Klamath River Fall Chinook,Age-4,2007,"26,100","33,650",0.78
Klamath River Fall Chinook,Age-4,2008,"157,200","81,411",1.93
Klamath River Fall Chinook,Age-4,2009,"25,200","21,131",1.19
Klamath River Fall Chinook,Age-4,2010,"106,300","62,089",1.71
Klamath River Fall Chinook,Age-4,2011,"61,600","64,570",0.95
Klamath River Fall Chinook,Age-4,2012,"79,600","74,300",1.07
Klamath River Fall Chinook,Age-4,2013,"331,200","194,407",1.7
Klamath River Fall Chinook,Age-4,2014,"67,400","180,669",0.37
Klamath River Fall Chinook,Age-4,2015,"71,100","60,979",1.17
Klamath River Fall Chinook,Age-4,2016,"45,100","24,777",1.82
Klamath River Fall Chinook,Age-4,2017,"10,600","9,821",1.08
Klamath River Fall Chinook,Age-4,2018,"28,400","10,531",2.7
Klamath River Fall Chinook,Age-4,2019,"106,100","15,660",6.78
Klamath River Fall Chinook,Age-4,2020,"36,200","14,229",2.54
Klamath River Fall Chinook,Age-4,2021c/,"45,100","38,319",1.18
Klamath River Fall Chinook,Age-4,2022,"43,200",--,--
Klamath River Fall Chinook,Age-5,1985,NA,"11,113",NA
Klamath River Fall Chinook,Age-5,1986,NA,"6,376",NA
Klamath River Fall Chinook,Age-5,1987,"5,300","19,414",0.27
Klamath River Fall Chinook,Age-5,1988,"13,300","14,632",0.91
Klamath River Fall Chinook,Age-5,1989,"10,100","9,612",1.05
Klamath River Fall Chinook,Age-5,1990,"7,600","7,767",0.98
Klamath River Fall Chinook,Age-5,1991,"1,500","2,774",0.54
Klamath River Fall Chinook,Age-5,1992,"1,300","1,444",0.9
Klamath River Fall Chinook,Age-5,1993,"1,100","1,759",0.63
Klamath River Fall Chinook,Age-5,1994,500,"1,468",0.34
Klamath River Fall Chinook,Age-5,1995,"2,000","3,805",0.53
Klamath River Fall Chinook,Age-5,1996,"1,100",788,1.4
Klamath River Fall Chinook,Age-5,1997,"7,900","9,004",0.88
Klamath River Fall Chinook,Age-5,1998,"3,300","2,382",1.39
Klamath River Fall Chinook,Age-5,1999,"2,000","2,106",0.95
Klamath River Fall Chinook,Age-5,2000,"1,400","1,051",1.33
Klamath River Fall Chinook,Age-5,2001,"1,300",258,5.04
Klamath River Fall Chinook,Age-5,2002,"9,700","6,933",1.4
Klamath River Fall Chinook,Age-5,2003,"6,500","1,915",3.39
Klamath River Fall Chinook,Age-5,2004,"9,700","17,184",0.56
Klamath River Fall Chinook,Age-5,2005,"5,200","6,859",0.76
Klamath River Fall Chinook,Age-5,2006,"2,200","5,236",0.42
Klamath River Fall Chinook,Age-5,2007,"4,700","2,911",1.61
Klamath River Fall Chinook,Age-5,2008,"1,900","2,900",0.66
Klamath River Fall Chinook,Age-5,2009,"5,600","7,059",0.79
Klamath River Fall Chinook,Age-5,2010,"1,800",517,3.48
Klamath River Fall Chinook,Age-5,2011,"5,000","2,753",1.82
Klamath River Fall Chinook,Age-5,2012,"4,600","5,110",0.9
Klamath River Fall Chinook,Age-5,2013,"5,700","3,945",1.44
Klamath River Fall Chinook,Age-5,2014,"12,100","7,625",1.59
Klamath River Fall Chinook,Age-5,2015,"10,400","13,283",0.78
Klamath River Fall Chinook,Age-5,2016,"3,700","1,142",3.24
Klamath River Fall Chinook,Age-5,2017,"1,700","2,024",0.84
Klamath River Fall Chinook,Age-5,2018,800,50,16
Klamath River Fall Chinook,Age-5,2019,600,220,2.73
Klamath River Fall Chinook,Age-5,2020,700,24,29.17
Klamath River Fall Chinook,Age-5,2021c/,800,--,--
Klamath River Fall Chinook,Age-5,2022,"1,900",--,--
Klamath River Fall Chinook,Total Adults,1985,"169,900d/","442,843",0.38
Klamath River Fall Chinook,Total Adults,1986,"492,300d/","1,451,608",0.34
Klamath River Fall Chinook,Total Adults,1987,"723,200","1,142,411",0.63
Klamath River Fall Chinook,Total Adults,1988,"570,500","1,005,644",0.57
Klamath River Fall Chinook,Total Adults,1989,"676,200","556,685",1.21
Klamath River Fall Chinook,Total Adults,1990,"536,700","287,840",1.86
Klamath River Fall Chinook,Total Adults,1991,"222,300","109,369",2.03
Klamath River Fall Chinook,Total Adults,1992,"96,100","69,115",1.39
Klamath River Fall Chinook,Total Adults,1993,"334,600","185,269",1.81
Klamath River Fall Chinook,Total Adults,1994,"224,600","163,119",1.38
Klamath River Fall Chinook,Total Adults,1995,"318,000","819,840",0.39
Klamath River Fall Chinook,Total Adults,1996,"749,400","419,342",1.79
Klamath River Fall Chinook,Total Adults,1997,"286,400","211,977",1.35
Klamath River Fall Chinook,Total Adults,1998,"225,300","201,914",1.12
Klamath River Fall Chinook,Total Adults,1999,"165,600","161,628",1.02
Klamath River Fall Chinook,Total Adults,2000,"389,900","662,324",0.59
Klamath River Fall Chinook,Total Adults,2001,"435,500","490,187",0.89
Klamath River Fall Chinook,Total Adults,2002,"362,500","619,464",0.59
Klamath River Fall Chinook,Total Adults,2003,"310,200","595,207",0.52
Klamath River Fall Chinook,Total Adults,2004,"216,300","281,876",0.77
Klamath River Fall Chinook,Total Adults,2005,"239,800","234,915",1.02
Klamath River Fall Chinook,Total Adults,2006,"110,000","159,286",0.69
Klamath River Fall Chinook,Total Adults,2007,"546,200","413,501",1.32
Klamath River Fall Chinook,Total Adults,2008,"190,700","152,326",1.25
Klamath River Fall Chinook,Total Adults,2009,"505,700","268,977",1.88
Klamath River Fall Chinook,Total Adults,2010,"331,500","255,356",1.3
Klamath River Fall Chinook,Total Adults,2011,"371,100","307,545",1.21
Klamath River Fall Chinook,Total Adults,2012,"1,651,800","878,856",1.88
Klamath River Fall Chinook,Total Adults,2013,"727,700","636,795",1.14
Klamath River Fall Chinook,Total Adults,2014,"299,300","404,787",0.74
Klamath River Fall Chinook,Total Adults,2015,"423,800","184,768",2.29
Klamath River Fall Chinook,Total Adults,2016,"142,200","58,589",2.43
Klamath River Fall Chinook,Total Adults,2017,"54,200","75,080",0.72
Klamath River Fall Chinook,Total Adults,2018,"359,200","204,266",1.76
Klamath River Fall Chinook,Total Adults,2019,"274,200","97,683",2.81
Klamath River Fall Chinook,Total Adults,2020,"186,600","147,117",1.27
Klamath River Fall Chinook,Total Adults,2021c/,"181,500","193,586",0.94
Klamath River Fall Chinook,Total Adults,2022,"200,100",--,--