"mgmt_group","comm_name","level","sci_name","complex"
"Coastal pelagic species","Chub mackerel","species","","Wet fish"
"Coastal pelagic species","Humbolt squid","species","Dosidicus gigas","...."
"Coastal pelagic species","Jack mackerel","species","","Wet fish"
"Coastal pelagic species","Market squid","species","","Wet fish"
"Coastal pelagic species","Northern anchovy","species","","Wet fish"
"Coastal pelagic species","Pacific bonito","species","","Wet fish"
"Coastal pelagic species","Pacific herring","species","Clupea pallasii","...."
"Coastal pelagic species","Pacific sardine","species","","Wet fish"
"Coastal pelagic species","Round herring","species","","...."
"Coastal pelagic species","Unsp. Mackerel","group","","Wet fish"
"Crabs","Bairdi tanner crab","species","Chionoecetes bairdi","Tanner crab"
"Crabs","Crustaceans","group","Crustacea",""
"Crabs","Decapoda (order) crabs","group","Decapoda",""
"Crabs","Dungeness crab","species","Cancer magister","...."
"Crabs","King crab","group","Paralithodes",""
"Crabs","Other crab","group","","...."
"Crabs","Rock crab","species","","...."
"Crabs","Scarlet king crab","species","","King crab"
"Crabs","Snow crab","species","Chionoecetes opilio",""
"Crabs","Snow/tanner crab","group","Chionoecetes",""
"Crabs","Unsp. Crab","group","","...."
"Crabs","Unsp. King crab","group","","King crab"
"Crabs","Unsp. Tanner crab","group","","Tanner crab"
"Groundfish","Arrowtooth flounder","species","Atheresthes stomias","Flatfish"
"Groundfish","Atka mackerel","species","Pleurogrammus monopterygius","Roundfish"
"Groundfish","Aurora rockfish","species","","Rockfish"
"Groundfish","Bank rockfish","species","","Rockfish"
"Groundfish","Big skate","species","","...., Miscellaneous groundfish"
"Groundfish","Bigmouth sole","species","","Flatfish"
"Groundfish","Black rockfish","species","Sebastes melanops","Rockfish"
"Groundfish","Black-and-yellow rockfish","species","","Rockfish"
"Groundfish","Black+blue rockfish","group","","Rockfish"
"Groundfish","Blackgill rockfish","species","","Rockfish"
"Groundfish","Blackspotted rockfish","species","","Rockfish"
"Groundfish","Blue rockfish","species","Sebastes mystinus","Rockfish"
"Groundfish","Bocaccio","species","Sebastes paucispinis","Rockfish"
"Groundfish","Bocaccio+chilipepper rckfsh","group","","Rockfish"
"Groundfish","Bronzespotted rockfish","species","","Rockfish"
"Groundfish","Brown rockfish","species","","Rockfish"
"Groundfish","Butter sole","species","Isopsetta isolepis","Flatfish"
"Groundfish","C-o sole","species","","Flatfish"
"Groundfish","Cabezon","species","","Roundfish"
"Groundfish","Calico rockfish","species","","Rockfish"
"Groundfish","California scorpionfish","species","","Rockfish"
"Groundfish","California skate","species","","Miscellaneous groundfish"
"Groundfish","Canary rockfish","species","Sebastes pinniger","Rockfish"
"Groundfish","Canary+vermilion rckfsh","group","","Rockfish"
"Groundfish","Capelin","species","Mallotus villosus","Roundfish"
"Groundfish","Chameleon rockfish","species","","Rockfish"
"Groundfish","Chilipepper rockfish","species","","Rockfish"
"Groundfish","China rockfish","species","Sebastes nebulosus","Rockfish"
"Groundfish","Chondrichthyes (class) sharks","group","Chondrichthyes",""
"Groundfish","Copper rockfish","species","Sebastes caurinus","Rockfish"
"Groundfish","Cowcod rockfish","species","","Rockfish"
"Groundfish","Curlfin sole","species","","Flatfish"
"Groundfish","Darkblotched rockfish","species","Sebastes crameri","Rockfish"
"Groundfish","Deacon rockfish","species","","Rockfish"
"Groundfish","Deepsea sole","species","","Flatfish"
"Groundfish","Diamond turbot","species","","Flatfish"
"Groundfish","Dogfish sharks","group","Squalidae",""
"Groundfish","Dover sole","species","Microstomus pacificus","Flatfish"
"Groundfish","English sole","species","Parophrys vetulus","Flatfish"
"Groundfish","Fantail sole","species","","Flatfish"
"Groundfish","Flag rockfish","species","","Rockfish"
"Groundfish","Flatfishes","group","Pleuronectiformes",""
"Groundfish","Flathead sole","species","Hippoglossoides elassodon","Flatfish"
"Groundfish","Freckled rockfish","species","","Rockfish"
"Groundfish","Gen. Shelf/slope rf","group","","Rockfish"
"Groundfish","Gopher rockfish","species","","Rockfish"
"Groundfish","Grass rockfish","species","","Rockfish"
"Groundfish","Greenblotched rockfish","species","","Rockfish"
"Groundfish","Greenland halibut","species","Reinhardtius hippoglossoides",""
"Groundfish","Greenspotted rockfish","species","","Rockfish"
"Groundfish","Greenstriped rockfish","species","Sebastes elongatus","Rockfish"
"Groundfish","Grenadiers","group","Macrouridae",""
"Groundfish","Halfbanded rockfish","species","","Rockfish"
"Groundfish","Harlequin rockfish","species","","Rockfish"
"Groundfish","Honeycomb rockfish","species","","Rockfish"
"Groundfish","Hornyhead turbot","species","","Flatfish"
"Groundfish","Kelp greenling","species","","Roundfish"
"Groundfish","Kelp rockfish","species","","Rockfish"
"Groundfish","Leopard shark","species","","Miscellaneous groundfish"
"Groundfish","Lingcod","species","Ophiodon elongatus","Roundfish"
"Groundfish","Loliginidae squids","group","Loliginidae",""
"Groundfish","Longfin sanddab","species","","Flatfish"
"Groundfish","Longnose skate","species","","Miscellaneous groundfish"
"Groundfish","Longspine thornyhead","species","","Rockfish"
"Groundfish","Mexican rockfish","species","","Rockfish"
"Groundfish","Nor. Unsp. Near-shore rockfish","group","","Rockfish"
"Groundfish","Nor. Unsp. Shelf rockfish","group","","Rockfish"
"Groundfish","Nor. Unsp. Slope rockfish","group","","Rockfish"
"Groundfish","Octopuses","group","Octopodidae",""
"Groundfish","Olive rockfish","species","","Rockfish"
"Groundfish","Other flatfish","group","","Flatfish"
"Groundfish","Other groundfish","group","","Miscellaneous groundfish"
"Groundfish","Other rockfish","group","","Rockfish"
"Groundfish","Pacific cod","species","Gadus macrocephalus","Roundfish"
"Groundfish","Pacific flatnose","species","","...."
"Groundfish","Pacific grenadier","species","","...."
"Groundfish","Pacific ocean perch","species","Sebastes alutus","Rockfish"
"Groundfish","Pacific sanddab","species","","Flatfish"
"Groundfish","Pacific whiting","species","","Roundfish"
"Groundfish","Petrale sole","species","Eopsetta jordani","Flatfish"
"Groundfish","Pink rockfish","species","","Rockfish"
"Groundfish","Pinkrose rockfish","species","","Rockfish"
"Groundfish","Puget sound rockfish","species","","Rockfish"
"Groundfish","Pygmy rockfish","species","","Rockfish"
"Groundfish","Quillback rockfish","species","","Rockfish"
"Groundfish","Rajidae (family) skates","group","Rajidae",""
"Groundfish","Redbanded rockfish","species","Sebastes babcocki","Rockfish"
"Groundfish","Redstripe rockfish","species","Sebastes proriger","Rockfish"
"Groundfish","Rex sole","species","Glyptocephalus zachirus","Flatfish"
"Groundfish","Righteye flounders","group","Pleuronectidae",""
"Groundfish","Rock sole","species","Paraplagusia bilineata","Flatfish"
"Groundfish","Rockfishes","group","Sebastes",""
"Groundfish","Rosethorn rockfish","species","","Rockfish"
"Groundfish","Rosy rockfish","species","","Rockfish"
"Groundfish","Rougheye + blackspotted rockfish","group","","Rockfish"
"Groundfish","Rougheye rockfish","species","","Rockfish"
"Groundfish","Roughtail skate","species","","Miscellaneous groundfish"
"Groundfish","Sablefish","species","Anoplopoma fimbria","Roundfish"
"Groundfish","Sand sole","species","Psettichthys melanostictus","Flatfish"
"Groundfish","Sculpins","group","Cottidae",""
"Groundfish","Sharpchin rockfish","species","Sebastes zacentrus","Rockfish"
"Groundfish","Shortbelly rockfish","species","","Rockfish"
"Groundfish","Shortraker rockfish","species","","Rockfish"
"Groundfish","Shortraker+rougheye","group","","Rockfish"
"Groundfish","Shortspine thornyhead","species","","Rockfish"
"Groundfish","Silvergray rockfish","species","Sebastes brevispinis","Rockfish"
"Groundfish","Slender sole","species","","Flatfish"
"Groundfish","Soupfin shark","species","","Miscellaneous groundfish"
"Groundfish","Speckled rockfish","species","","Rockfish"
"Groundfish","Speckled sanddab","species","","Flatfish"
"Groundfish","Spiny dogfish","species","Squalus acanthias","Miscellaneous groundfish"
"Groundfish","Splitnose rockfish","species","","Rockfish"
"Groundfish","Spotted ratfish","species","","Miscellaneous groundfish"
"Groundfish","Spotted turbot","species","","Flatfish"
"Groundfish","Squarespot rockfish","species","","Rockfish"
"Groundfish","Starry flounder","species","Platichthys stellatus","Flatfish"
"Groundfish","Starry rockfish","species","Sebastes constellatus","Rockfish"
"Groundfish","Stripetail rockfish","species","","Rockfish"
"Groundfish","Swordspine rockfish","species","","Rockfish"
"Groundfish","Thornyheads (mixed)","group","","Rockfish"
"Groundfish","Tiger rockfish","species","","Rockfish"
"Groundfish","Treefish","species","","Rockfish"
"Groundfish","Unsp. Bolina rckfsh","group","","Rockfish"
"Groundfish","Unsp. Deep near-shore rf","group","","Rockfish"
"Groundfish","Unsp. Dpwtr reds rckfsh","group","","Rockfish"
"Groundfish","Unsp. Flatfish","group","","Flatfish"
"Groundfish","Unsp. Gopher rockfish","group","","Rockfish"
"Groundfish","Unsp. Grenadiers","group","","Miscellaneous groundfish"
"Groundfish","Unsp. Near-shore rockfish","group","","Rockfish"
"Groundfish","Unsp. Pop group","group","","Rockfish"
"Groundfish","Unsp. Reds rckfsh","group","","Rockfish"
"Groundfish","Unsp. Rockfish","group","","Rockfish"
"Groundfish","Unsp. Rosefish rckfsh","group","","Rockfish"
"Groundfish","Unsp. Roundfish","group","","Roundfish"
"Groundfish","Unsp. Sanddabs","group","","Flatfish"
"Groundfish","Unsp. Shelf rockfish","group","","Rockfish"
"Groundfish","Unsp. Skate","group","","Miscellaneous groundfish"
"Groundfish","Unsp. Slope rockfish","group","","Rockfish"
"Groundfish","Unsp. Small reds rckfsh","group","","Rockfish"
"Groundfish","Unsp. Turbots","group","","Flatfish"
"Groundfish","Vermilion rockfish","species","Sebastes miniatus","Rockfish"
"Groundfish","Walleye pollock","species","Gadus chalcogrammus","Roundfish"
"Groundfish","Widow rockfish","species","Sebastes entomelas","Rockfish"
"Groundfish","Yelloweye rockfish","species","Sebastes ruberrimus","Rockfish"
"Groundfish","Yellowfin sole","species","Limanda aspera",""
"Groundfish","Yellowmouth rockfish","species","Sebastes reedi","Rockfish"
"Groundfish","Yellowtail rockfish","species","Sebastes flavidus","Rockfish"
"Highly migratory species","Albacore","species","Thunnus alalunga","Tuna"
"Highly migratory species","Bigeye tuna","species","","Tuna"
"Highly migratory species","Blue shark","species","","...."
"Highly migratory species","Bluefin tuna","species","","Tuna"
"Highly migratory species","Common thresher shark","species","","...."
"Highly migratory species","Dolphinfish","species","","...."
"Highly migratory species","Shortbill spearfish","species","","...."
"Highly migratory species","Shortfin mako shark","species","","...."
"Highly migratory species","Skipjack tuna","species","","Tuna"
"Highly migratory species","Striped marlin","species","","...."
"Highly migratory species","Swordfish","species","","...."
"Highly migratory species","Unsp. Tuna","group","","Tuna"
"Highly migratory species","Yellowfin tuna","species","","Tuna"
"Other","Aleutian skate","species","","...."
"Other","Bat ray","species","","...."
"Other","Bigeye thresher shark","species","","...."
"Other","Black eelpout","species","","...."
"Other","Black skate","species","","...."
"Other","Black skipjack","species","","Tuna"
"Other","Brown cat shark","species","","...."
"Other","Bullet mackerel","species","","...."
"Other","California halibut","species","","...."
"Other","California sheephead","species","","...."
"Other","California spiny lobster","species","","...."
"Other","Eulachon","species","Thaleichthys pacificus","...."
"Other","Giant grenadier","species","","...."
"Other","Giant kelpfish","species","","...."
"Other","Giant sea bass","species","","Sea bass"
"Other","Green sturgeon","species","","Sturgeon"
"Other","Jawed vertebrates","group","Gnathostomata",""
"Other","Louvar","species","","...."
"Other","Misc. Fish","group","","...."
"Other","Misc. Fish/animals","group","","...."
"Other","Mola mola","species","","...."
"Other","Monkeyface prickleback (eel)","species","","...."
"Other","Ocean whitefish","species","","...."
"Other","Opah","species","","...."
"Other","Other anchovy","group","","...."
"Other","Other bass","group","","Sea bass"
"Other","Other croaker","group","","...."
"Other","Other mollusks","group","","Mollusk"
"Other","Other sea urchins","group","","Echinoderm"
"Other","Other shark","group","","...."
"Other","Other skates","group","","...."
"Other","Other tuna","group","","Tuna"
"Other","Pacific angel shark","species","","...."
"Other","Pacific barracuda","species","","...."
"Other","Pacific butterfish","species","","...."
"Other","Pacific hagfish","species","","...."
"Other","Pacific halibut","species","Hippoglossus stenolepis","...."
"Other","Pacific pomfret","species","","...."
"Other","Pacific saury","species","","...."
"Other","Pacific tomcod","species","","...."
"Other","Pelagic thresher shark","species","","...."
"Other","Plainfin midshipman","species","","...."
"Other","Prowfish","species","","...."
"Other","Queenfish","species","","...."
"Other","Red sea urchin","species","","Echinoderm"
"Other","Rock greenling","species","","...."
"Other","Sailfish","species","","...."
"Other","Sandpaper skate","species","","...."
"Other","Sea cucumbers","group","Holothuroidea",""
"Other","Smelts","group","Osmeridae",""
"Other","Spotted cusk-eel","species","","...."
"Other","Starry skate","species","","...."
"Other","Strongylocentrotus (genus) urchins sea","group","Strongylocentrotus",""
"Other","Surfperch spp.","group","","...."
"Other","Unknown","group","",""
"Other","Unsp. Echinoderm","group","","Echinoderm"
"Other","Unsp. Eels","group","","...."
"Other","Unsp. Greenling","group","","...."
"Other","Unsp. Hagfish","group","","...."
"Other","Unsp. Halibut","group","","...."
"Other","Unsp. Mollusks","group","","Mollusk"
"Other","Unsp. Octopus","group","","...."
"Other","Unsp. Sculpin","group","","...."
"Other","Unsp. Sea cucumbers","group","","Echinoderm"
"Other","Unsp. Sea urchins","group","","Echinoderm"
"Other","Unsp. Shad","group","","...."
"Other","Unsp. Shark","group","","...."
"Other","Unsp. Smelt","group","","...."
"Other","Unsp. Squid","group","","...."
"Other","Unsp. Sturgeon","group","","Sturgeon"
"Other","Wahoo","species","","...."
"Other","White croaker","species","","...."
"Other","White seabass","species","","Sea bass"
"Other","White sturgeon","species","","Sturgeon"
"Other","Withheld for confidentiality","group","Unknown",""
"Other","Wolf eel","species","","...."
"Other","Yellowtail","species","","...."
"Salmon","Chinook salmon","species","Oncorhynchus tshawytscha","...."
"Salmon","Chum salmon","species","Oncorhynchus keta","...."
"Salmon","Coho salmon","species","Oncorhynchus kisutch","...."
"Salmon","Pacific salmon","group","Oncorhynchus",""
"Salmon","Pink salmon","species","Oncorhynchus gorbuscha","...."
"Salmon","Sockeye salmon","species","Oncorhynchus nerka","...."
"Salmon","Steelhead","species","Oncorhynchus mykiss","...."
"Salmon","Unsp. Salmon","group","","...."
"Shellfish","Abalones","group","Haliotidae",""
"Shellfish","Basket cockle","species","","Clam"
"Shellfish","Black abalone","species","","Abalone"
"Shellfish","Blue mussel","species","Mytilus edulis","Clam"
"Shellfish","Butter clam","species","","Clam"
"Shellfish","California jackknife clam","species","","Clam"
"Shellfish","California mussel","species","","Clam"
"Shellfish","Clams","group","Bivalvia",""
"Shellfish","Eastern oyster","species","","Oyster"
"Shellfish","European oyster","species","","Oyster"
"Shellfish","Gaper clam","species","","Clam"
"Shellfish","Geoduck","species","Panopea abrupta","Clam"
"Shellfish","Green abalone","species","","Abalone"
"Shellfish","Horse clams","species","","Clam"
"Shellfish","Kumamoto oyster","species","","Oyster"
"Shellfish","Manila clam","species","","Clam"
"Shellfish","Mud clams","species","","Clam"
"Shellfish","Northern quahog clam","species","","Clam"
"Shellfish","Olympia oyster","species","","Oyster"
"Shellfish","Other abalone","group","","Abalone"
"Shellfish","Other scallop","group","","Scallop"
"Shellfish","Pacific littleneck clam","species","Protothaca staminea","Clam"
"Shellfish","Pacific oyster","species","Crassostrea gigas","Oyster"
"Shellfish","Pink abalone","species","","Abalone"
"Shellfish","Pismo clam","species","","Clam"
"Shellfish","Purple clam","species","","Clam"
"Shellfish","Razor clam","species","","Clam"
"Shellfish","Red abalone","species","","Abalone"
"Shellfish","Rosy razor clam","species","","Clam"
"Shellfish","Sea scallop","species","Placopecten magellanicus",""
"Shellfish","Soft-shelled clam","species","","Clam"
"Shellfish","True conchs","group","Strombus",""
"Shellfish","Unsp. Abalone","group","","Abalone"
"Shellfish","Unsp. Clam","group","","Clam"
"Shellfish","Unsp. Oyster","group","","Oyster"
"Shellfish","Unsp. Scallop","group","","Scallop"
"Shellfish","Varnish clam","species","","Clam"
"Shellfish","Washington clam","species","","Clam"
"Shellfish","Weathervane scallop","species","Patinopecten caurinus",""
"Shellfish","White abalone","species","","Abalone"
"Shrimp","Blue mud shrimp","species","","...."
"Shrimp","Ghost shrimp","species","","...."
"Shrimp","Golden prawn","species","","...."
"Shrimp","Other shrimp","group","","...."
"Shrimp","Pacific pink shrimp","species","","...."
"Shrimp","Penaeid shrimps","group","Penaeidae",""
"Shrimp","Ridgeback prawn","species","","...."
"Shrimp","Spotted prawn","species","","...."
"Shrimp","Unsp. Bait shrimp","group","","...."
"Shrimp","Unsp. Ocean shrimp","group","","...."
